city_id,city_name,governorate,aqi_grid,date_key,hours_observed,avg_pm2_5,max_pm2_5,avg_pm10,avg_us_aqi,max_us_aqi,avg_temp_c,avg_wind_kmh,hours_above_who
alexandria,Alexandria,Alexandria,alexandria,2026-07-30,24,16.8,20.1,32.13,67.0,68.0,27.9,11.1,22
aswan,Aswan,Aswan,aswan,2026-07-30,24,40.11,78.7,212.91,152.7,167.0,35.7,13.3,24
cairo,Cairo,Cairo,cairo_giza,2026-07-30,24,21.7,31.4,40.51,77.8,92.0,31.2,7.2,23
giza,Giza,Giza,cairo_giza,2026-07-30,24,21.7,31.4,40.51,77.8,92.0,31.0,8.4,23
luxor,Luxor,Luxor,luxor,2026-07-30,24,47.91,78.2,222.55,164.2,185.0,35.0,9.7,24
mansoura,Mansoura,Dakahlia,mansoura,2026-07-30,24,13.35,21.8,25.03,61.7,64.0,29.8,7.3,8
port_said,Port Said,Port Said,port_said,2026-07-30,24,19.36,29.2,31.68,73.8,77.0,29.4,10.4,14
suez,Suez,Suez,suez,2026-07-30,24,13.9,17.4,25.53,74.3,113.0,32.8,12.9,9
alexandria,Alexandria,Alexandria,alexandria,2026-07-31,24,14.99,17.8,31.08,62.7,65.0,27.3,9.7,9
aswan,Aswan,Aswan,aswan,2026-07-31,24,29.34,40.9,133.04,107.2,129.0,36.0,7.6,24
cairo,Cairo,Cairo,cairo_giza,2026-07-31,24,20.9,28.5,38.82,75.0,89.0,30.2,6.7,20
giza,Giza,Giza,cairo_giza,2026-07-31,24,20.9,28.5,38.82,75.0,89.0,29.9,8.0,20
luxor,Luxor,Luxor,luxor,2026-07-31,24,36.43,60.1,158.14,117.0,134.0,35.3,9.0,24
mansoura,Mansoura,Dakahlia,mansoura,2026-07-31,24,11.4,17.3,20.05,56.8,62.0,28.8,7.3,3
port_said,Port Said,Port Said,port_said,2026-07-31,24,9.9,12.4,18.87,58.0,70.0,28.9,11.0,0
suez,Suez,Suez,suez,2026-07-31,24,17.13,24.7,29.27,81.5,132.0,33.1,13.0,14
