city_name,aqi_grid,hour_of_day_local,avg_pm2_5,avg_us_aqi,sample_size
Alexandria,alexandria,0,13.45,60.2,51
Alexandria,alexandria,1,13.46,60.2,51
Alexandria,alexandria,2,13.45,60.2,51
Alexandria,alexandria,3,13.48,60.4,52
Alexandria,alexandria,4,13.92,60.3,52
Alexandria,alexandria,5,13.98,60.2,52
Alexandria,alexandria,6,14.16,60.3,52
Alexandria,alexandria,7,14.66,60.2,52
Alexandria,alexandria,8,15.06,60.2,52
Alexandria,alexandria,9,15.5,60.4,52
Alexandria,alexandria,10,15.85,61.4,52
Alexandria,alexandria,11,15.98,61.5,52
Alexandria,alexandria,12,16.12,60.8,52
Alexandria,alexandria,13,15.9,60.3,52
Alexandria,alexandria,14,15.42,60.5,52
Alexandria,alexandria,15,14.77,60.1,52
Alexandria,alexandria,16,14.05,60.0,52
Alexandria,alexandria,17,13.54,59.9,52
Alexandria,alexandria,18,13.2,59.9,52
Alexandria,alexandria,19,13.28,60.3,51
Alexandria,alexandria,20,13.24,60.3,51
Alexandria,alexandria,21,13.25,60.2,51
Alexandria,alexandria,22,13.46,60.2,51
Alexandria,alexandria,23,13.44,60.2,51
Aswan,aswan,0,47.3,128.7,51
Aswan,aswan,1,51.92,128.8,51
Aswan,aswan,2,55.27,128.7,51
Aswan,aswan,3,59.4,129.6,52
Aswan,aswan,4,60.69,129.9,52
Aswan,aswan,5,61.1,130.2,52
Aswan,aswan,6,60.66,130.4,52
Aswan,aswan,7,59.44,130.4,52
Aswan,aswan,8,57.21,130.6,52
Aswan,aswan,9,56.88,130.5,52
Aswan,aswan,10,54.06,130.4,52
Aswan,aswan,11,47.74,130.4,52
Aswan,aswan,12,42.58,130.3,52
Aswan,aswan,13,38.87,130.3,52
Aswan,aswan,14,36.35,130.3,52
Aswan,aswan,15,31.99,130.3,52
Aswan,aswan,16,31.05,130.2,52
Aswan,aswan,17,30.87,130.2,52
Aswan,aswan,18,31.31,130.3,52
Aswan,aswan,19,32.24,129.1,51
Aswan,aswan,20,32.88,128.8,51
Aswan,aswan,21,34.45,128.8,51
Aswan,aswan,22,37.39,128.8,51
Aswan,aswan,23,41.94,128.6,51
Cairo,cairo_giza,0,16.63,69.3,51
Cairo,cairo_giza,1,17.03,69.3,51
Cairo,cairo_giza,2,17.91,69.3,51
Cairo,cairo_giza,3,18.5,69.4,52
Cairo,cairo_giza,4,19.71,69.4,52
Cairo,cairo_giza,5,20.99,69.4,52
Cairo,cairo_giza,6,22.42,69.4,52
Cairo,cairo_giza,7,23.63,69.3,52
Cairo,cairo_giza,8,23.32,69.4,52
Cairo,cairo_giza,9,22.24,69.3,52
Cairo,cairo_giza,10,21.42,69.3,52
Cairo,cairo_giza,11,20.7,69.3,52
Cairo,cairo_giza,12,20.96,69.3,52
Cairo,cairo_giza,13,20.92,69.3,52
Cairo,cairo_giza,14,20.0,69.2,52
Cairo,cairo_giza,15,18.87,69.3,52
